#input pid is 28861
#input 2
#COMMAND
#chrome
1569082637 50.2
1569082638 49.0
1569082639 47.8
1569082640 46.6
1569082641 45.5
1569082642 44.4
1569082643 43.4
1569082644 42.9
1569082645 42.9
1569082646 43.0
1569082647 44.0
1569082648 43.2
1569082649 43.7
1569082650 44.1
1569082651 43.3
1569082652 42.5
1569082653 41.7
1569082654 41.0
1569082655 40.2
1569082656 39.5
1569082657 38.9
1569082658 38.2
1569082659 37.6
1569082660 37.0
1569082661 36.4
1569082662 35.8
1569082663 35.3
1569082664 34.8
1569082665 34.3
1569082666 33.8
1569082667 33.3
1569082668 32.8
1569082669 32.4
